race,income,sex,schoolYears,age,spend
white,31625.0,female,13.0,49.0,739.24
other,14414.0,female,12.0,48.0,729.43
white,6689.0,female,14.0,50.0,728.89
white,48999.0,female,18.0,53.0,793.98
hispanic,127980.0,female,17.0,50.0,800.02
asian,79327.0,male,17.0,38.0,862.4
black,18950.0,male,10.0,38.0,851.17
white,90627.0,female,18.0,51.0,790.87
white,6753.0,female,14.0,49.0,747.07
white,17755.0,female,13.0,55.0,791.02
white,119868.0,male,18.0,26.0,519.66
white,50906.0,male,15.0,30.0,616.57
black,36920.0,male,10.0,33.0,659.56
black,15602.0,male,12.0,36.0,763.9
black,18885.0,male,10.0,36.0,753.98
white,59336.0,female,16.0,56.0,849.16
white,142809.0,female,19.0,47.0,757.9
white,32452.0,male,16.0,36.0,806.56
hispanic,99713.0,male,15.0,30.0,777.61
white,68443.0,male,16.0,32.0,664.49
white,654449.0,male,17.0,38.0,924.34
asian,26260.0,male,15.0,28.0,573.16
white,35828.0,male,15.0,30.0,625.42
white,45769.0,male,17.0,40.0,924.33
white,32573.0,male,14.0,39.0,887.16
other,143342.0,female,15.0,53.0,790.51
white,41741.0,female,17.0,47.0,752.1
hispanic,41443.0,male,15.0,36.0,925.85
black,60154.0,male,14.0,34.0,711.32
white,53675.0,male,16.0,34.0,709.55
white,92809.0,male,17.0,30.0,637.8
white,21814.0,female,14.0,55.0,818.52
other,13038.0,female,14.0,44.0,684.46
hispanic,56972.0,female,14.0,48.0,763.04
hispanic,80676.0,female,15.0,51.0,771.71
hispanic,23630.0,male,12.0,32.0,806.88
white,14906.0,male,14.0,36.0,773.78
asian,13823.0,male,15.0,37.0,796.16
white,110077.0,male,17.0,28.0,548.1
hispanic,67158.0,female,13.0,55.0,803.86
other,163598.0,male,14.0,35.0,762.39
black,98472.0,female,16.0,56.0,638.82
white,98351.0,male,18.0,35.0,760.26
hispanic,174302.0,male,17.0,36.0,966.83
black,26638.0,male,12.0,42.0,993.65
white,33152.0,male,13.0,35.0,765.91
white,57577.0,male,15.0,34.0,722.67
white,57149.0,female,17.0,52.0,825.73
white,38702.0,female,13.0,55.0,825.93
white,58995.0,female,16.0,51.0,793.21
white,297083.0,female,17.0,45.0,736.66
other,16930.0,male,13.0,33.0,660.1
white,166419.0,male,18.0,35.0,795.3
white,92496.0,female,18.0,54.0,830.0
other,205484.0,male,17.0,29.0,595.29
other,7048.0,female,12.0,56.0,808.83
black,56658.0,male,14.0,35.0,769.02
hispanic,92631.0,male,15.0,33.0,865.95
white,36218.0,male,14.0,29.0,577.13
black,5833.0,male,12.0,31.0,615.96
black,96904.0,male,14.0,37.0,837.62
hispanic,34445.0,female,12.0,51.0,785.16
white,88810.0,male,19.0,33.0,714.35
white,14653.0,male,14.0,32.0,660.65
black,56208.0,male,11.0,35.0,766.25
white,33067.0,male,14.0,39.0,885.71
white,5513.0,female,13.0,42.0,655.99
black,374812.0,male,16.0,42.0,1021.47
white,30939.0,male,13.0,39.0,870.58
white,29809.0,male,12.0,38.0,824.19
white,243973.0,female,19.0,41.0,686.25
white,15516.0,female,16.0,51.0,766.72
asian,232153.0,male,20.0,29.0,598.35
white,135195.0,female,18.0,51.0,811.73
black,15685.0,female,13.0,50.0,559.67
white,87890.0,male,19.0,38.0,881.33
hispanic,30722.0,female,12.0,45.0,684.53
white,28125.0,female,15.0,51.0,772.32
white,24758.0,female,13.0,55.0,813.98
white,114958.0,female,20.0,50.0,796.59
white,92216.0,female,19.0,43.0,704.85
hispanic,85184.0,male,15.0,30.0,772.71
white,21647.0,male,14.0,34.0,711.79
white,31493.0,female,14.0,51.0,763.25
asian,180645.0,female,19.0,59.0,1036.11
white,65147.0,female,17.0,48.0,743.75
white,16173.0,female,12.0,53.0,800.56
other,40745.0,female,14.0,48.0,736.68
white,74768.0,male,17.0,33.0,698.11
black,316384.0,male,16.0,40.0,967.47
white,105406.0,male,19.0,35.0,758.44
black,32876.0,female,12.0,49.0,541.98
other,26408.0,female,12.0,50.0,750.76
white,62574.0,female,15.0,53.0,796.16
asian,74897.0,female,17.0,47.0,860.75
asian,283407.0,male,19.0,36.0,825.34
hispanic,99346.0,female,17.0,53.0,823.17
hispanic,7325.0,female,13.0,51.0,774.08
white,57338.0,female,17.0,45.0,730.59
hispanic,20522.0,female,11.0,51.0,734.78
white,16594.0,male,12.0,36.0,767.14
white,112183.0,male,17.0,27.0,544.59
black,99872.0,female,16.0,49.0,544.86
white,24647.0,female,13.0,55.0,818.7
black,60058.0,male,15.0,24.0,454.99
white,74696.0,female,18.0,51.0,796.52
hispanic,148152.0,male,17.0,35.0,926.15
white,112363.0,male,18.0,33.0,719.35
white,18394.0,female,14.0,48.0,741.6
white,7732.0,male,14.0,40.0,907.58
white,17779.0,female,15.0,44.0,696.57
white,40520.0,male,16.0,38.0,862.12
white,256467.0,male,16.0,40.0,949.11
white,48951.0,female,14.0,51.0,790.32
hispanic,23280.0,female,13.0,48.0,712.36
black,130984.0,female,17.0,51.0,592.76
white,707840.0,male,16.0,31.0,674.21
other,49504.0,female,14.0,44.0,688.69
black,54329.0,male,15.0,33.0,683.3
asian,570216.0,male,17.0,35.0,779.95
white,44110.0,female,15.0,49.0,756.92
hispanic,22211.0,female,12.0,51.0,761.31
white,56124.0,male,16.0,34.0,732.84
hispanic,7409.0,female,13.0,43.0,667.36
white,103409.0,male,18.0,32.0,689.26
white,71740.0,male,15.0,31.0,621.51
white,342826.0,male,20.0,34.0,770.2
white,3089.0,male,14.0,19.0,331.58
other,32018.0,male,11.0,42.0,955.83
white,21388.0,female,13.0,51.0,771.01
white,24945.0,female,15.0,54.0,797.95
white,101256.0,female,17.0,55.0,863.03
white,31401.0,male,15.0,37.0,798.21
white,77624.0,male,17.0,35.0,776.69
hispanic,43699.0,female,13.0,56.0,812.69
asian,84531.0,female,17.0,48.0,852.7
black,212260.0,female,16.0,48.0,573.53
white,37048.0,male,13.0,32.0,653.66
other,20947.0,female,12.0,50.0,750.54
other,4815.0,male,13.0,36.0,758.73
hispanic,51847.0,male,13.0,42.0,1135.88
white,36045.0,male,14.0,32.0,671.61
other,43263.0,female,14.0,51.0,778.52
white,33860.0,female,15.0,46.0,750.14
black,23165.0,male,11.0,34.0,708.7
hispanic,87990.0,female,16.0,54.0,827.66
white,20349.0,female,14.0,46.0,713.61
other,10107.0,female,13.0,53.0,773.63
white,66777.0,male,14.0,33.0,690.44
asian,168174.0,female,19.0,48.0,904.46
white,57979.0,female,17.0,44.0,685.36
asian,50942.0,female,19.0,53.0,934.97
white,79101.0,male,17.0,33.0,723.45
white,96533.0,female,17.0,52.0,807.08
black,102926.0,male,15.0,28.0,566.81
white,77481.0,female,16.0,59.0,875.16
white,30360.0,male,15.0,37.0,812.43
white,68204.0,male,17.0,35.0,788.49
white,33822.0,female,14.0,41.0,665.86
white,35678.0,male,13.0,30.0,619.97
other,866231.0,male,13.0,37.0,829.93
white,9844.0,female,13.0,48.0,709.6
white,31507.0,female,15.0,53.0,798.38
white,31329.0,male,14.0,29.0,568.45
asian,11545.0,female,15.0,49.0,845.96
white,26137.0,male,14.0,35.0,748.48
black,43905.0,female,13.0,49.0,536.45
white,50486.0,male,17.0,31.0,673.54
white,114352.0,female,17.0,50.0,796.46
hispanic,24954.0,female,13.0,46.0,735.69
hispanic,16489.0,female,11.0,57.0,849.31
white,222843.0,female,18.0,53.0,816.68
hispanic,83699.0,female,16.0,53.0,825.49
hispanic,91838.0,male,15.0,31.0,793.09
white,76885.0,male,16.0,35.0,739.2
white,93632.0,male,19.0,38.0,887.81
white,98234.0,male,18.0,40.0,950.51
asian,40491.0,male,18.0,28.0,570.86
hispanic,61397.0,female,12.0,49.0,785.96
asian,109787.0,male,19.0,32.0,687.25
white,21622.0,male,14.0,36.0,796.52
black,40886.0,female,16.0,53.0,607.65
white,158520.0,male,19.0,30.0,648.4
white,85945.0,male,19.0,34.0,757.29
white,18677.0,female,13.0,51.0,773.98
white,90197.0,female,19.0,51.0,807.07
hispanic,22840.0,female,13.0,48.0,728.72
hispanic,93014.0,female,17.0,42.0,703.11
other,140727.0,female,16.0,49.0,771.22
white,36922.0,female,13.0,59.0,861.2
white,84399.0,male,18.0,32.0,683.14
white,37592.0,other,15.0,29.0,532.55
other,21441.0,male,12.0,35.0,727.5
white,97557.0,male,18.0,36.0,833.39
white,17861.0,male,15.0,37.0,807.3
white,13586.0,male,16.0,38.0,851.28
black,49217.0,male,13.0,30.0,604.8
white,8259.0,female,14.0,54.0,766.61
white,6486.0,female,14.0,50.0,746.08
white,46507.0,female,16.0,49.0,752.62
white,86025.0,female,17.0,54.0,848.15
other,46518.0,female,15.0,46.0,720.76
white,25283.0,male,14.0,32.0,649.72
hispanic,83348.0,female,16.0,45.0,724.23
black,50715.0,male,15.0,31.0,646.33
white,21806.0,female,15.0,50.0,770.65
white,172899.0,female,16.0,46.0,755.59
white,2638.0,female,14.0,52.0,773.91
white,26769.0,male,15.0,34.0,706.78
other,119324.0,female,15.0,47.0,750.8
white,31817.0,male,14.0,39.0,874.56
white,82751.0,male,18.0,35.0,799.46
hispanic,140737.0,male,16.0,34.0,888.95
black,84804.0,male,19.0,38.0,883.16
hispanic,47311.0,female,14.0,51.0,797.89
other,39747.0,female,12.0,47.0,701.36
white,58256.0,male,15.0,33.0,699.3
black,25042.0,male,12.0,32.0,655.37
white,159985.0,male,18.0,37.0,875.22
white,91221.0,female,19.0,50.0,789.17
white,87739.0,female,18.0,50.0,819.46
hispanic,258449.0,female,14.0,55.0,850.04
white,37443.0,female,14.0,54.0,814.6
asian,12004.0,female,15.0,50.0,866.38
white,79461.0,male,16.0,36.0,803.54
other,106924.0,male,18.0,36.0,810.79
white,58470.0,male,15.0,29.0,574.96
white,6863.0,female,13.0,57.0,831.84
hispanic,108885.0,female,14.0,50.0,776.67
white,778780.0,male,16.0,34.0,751.31
white,113185.0,female,18.0,53.0,832.69
white,38019.0,male,14.0,28.0,550.32
other,11733.0,male,13.0,31.0,614.17
white,36943.0,male,13.0,32.0,625.22
black,77831.0,female,14.0,55.0,613.86
hispanic,18995.0,female,13.0,49.0,734.01
white,17714.0,male,13.0,24.0,445.51
white,61780.0,male,16.0,28.0,559.01
white,120605.0,female,19.0,51.0,807.77
white,12446.0,female,14.0,51.0,757.41
white,30873.0,female,14.0,55.0,813.59
white,118405.0,female,18.0,50.0,813.32
white,46230.0,female,16.0,53.0,800.99
asian,82718.0,male,19.0,39.0,937.97
black,17971.0,male,14.0,38.0,856.54
black,21884.0,male,13.0,35.0,769.61
white,61865.0,female,16.0,56.0,846.15
white,88068.0,female,19.0,48.0,768.69
hispanic,9224.0,female,12.0,51.0,760.91
hispanic,13659.0,male,12.0,28.0,674.04
white,87866.0,female,20.0,52.0,843.62
white,6816.0,female,14.0,52.0,785.69
white,13952.0,female,13.0,52.0,765.32
white,346217.0,male,18.0,36.0,842.01
white,23093.0,male,12.0,31.0,595.44
white,46871.0,male,16.0,31.0,647.87
white,20298.0,female,15.0,48.0,731.97
asian,33147.0,male,16.0,32.0,679.4
white,37824.0,female,14.0,54.0,821.84
asian,42592.0,male,15.0,32.0,657.91
black,57707.0,female,15.0,52.0,594.54
other,444713.0,female,16.0,53.0,826.54
other,30670.0,female,13.0,41.0,675.18
white,21643.0,male,11.0,34.0,689.22
white,53983.0,male,14.0,29.0,571.91
hispanic,31854.0,male,13.0,37.0,947.62
asian,22335.0,male,15.0,39.0,897.14
white,165142.0,male,16.0,32.0,689.42
white,351118.0,male,18.0,32.0,714.1
hispanic,27528.0,female,12.0,54.0,778.67
other,109454.0,male,16.0,30.0,627.32
other,99348.0,male,15.0,29.0,594.85
white,110345.0,male,19.0,34.0,742.75
white,54077.0,female,16.0,55.0,848.17
white,125600.0,female,19.0,53.0,849.62
hispanic,47412.0,male,14.0,37.0,953.63
white,11679.0,male,15.0,39.0,892.36
hispanic,24549.0,female,11.0,46.0,714.01
white,83207.0,female,19.0,58.0,901.78
white,227925.0,female,19.0,57.0,888.07
white,57875.0,female,17.0,52.0,781.9
hispanic,13731.0,female,14.0,52.0,774.55
black,6995.0,male,11.0,28.0,544.63
white,14463.0,female,14.0,50.0,749.0
white,102577.0,female,19.0,51.0,797.84
white,67481.0,female,16.0,48.0,764.12
white,234251.0,male,19.0,38.0,892.6
white,98787.0,male,18.0,39.0,888.59
white,144322.0,male,18.0,31.0,677.13
hispanic,46925.0,female,13.0,51.0,779.6
asian,65041.0,male,16.0,39.0,887.08
hispanic,96214.0,female,15.0,46.0,743.82
other,2715.0,female,12.0,59.0,839.33
hispanic,106449.0,female,16.0,51.0,768.93
white,11568.0,female,14.0,49.0,749.34
white,30303.0,male,14.0,35.0,767.09
asian,161251.0,female,18.0,54.0,932.89
black,135862.0,female,16.0,54.0,612.6
white,41195.0,male,17.0,31.0,636.1
hispanic,150873.0,female,17.0,49.0,770.15
white,22806.0,male,13.0,37.0,784.59
other,107436.0,female,15.0,40.0,660.34
white,45297.0,male,16.0,38.0,870.32
hispanic,19709.0,male,11.0,42.0,1111.41
white,58215.0,female,15.0,49.0,748.86
white,71650.0,female,16.0,50.0,775.91
white,30877.0,male,14.0,33.0,736.75
white,82758.0,male,18.0,36.0,800.7
white,25957.0,female,14.0,51.0,766.64
black,50030.0,female,16.0,42.0,463.13
white,63493.0,male,14.0,33.0,695.6
hispanic,77978.0,male,14.0,38.0,1005.73
white,29827.0,male,13.0,35.0,744.64
hispanic,90336.0,male,15.0,46.0,1329.34
black,2932.0,female,14.0,57.0,607.12
hispanic,1181844.0,male,13.0,32.0,855.5
black,77549.0,female,14.0,47.0,536.05
white,26166.0,male,14.0,30.0,597.13
white,27515.0,female,13.0,52.0,789.97
asian,165295.0,female,19.0,49.0,917.26
other,8930.0,male,12.0,40.0,892.0
white,118634.0,female,19.0,57.0,889.73
black,17574.0,female,12.0,44.0,486.04
black,14740.0,male,12.0,32.0,648.1
white,4682.0,male,13.0,28.0,527.62
white,9310.0,female,15.0,48.0,734.64
white,213309.0,male,18.0,34.0,748.79
white,105242.0,male,20.0,35.0,784.87
white,159549.0,male,18.0,28.0,584.05
white,29891.0,male,15.0,32.0,660.17
white,66970.0,male,15.0,40.0,918.07
black,31998.0,male,13.0,31.0,616.03
white,38793.0,female,13.0,47.0,716.91
black,76336.0,female,15.0,45.0,532.46
hispanic,39904.0,female,12.0,50.0,772.07
hispanic,221582.0,male,14.0,32.0,859.15
hispanic,49591.0,female,15.0,57.0,824.16
white,14199.0,female,14.0,48.0,766.78
other,7215.0,male,12.0,30.0,557.61
white,118827.0,female,20.0,49.0,778.59
white,77218.0,female,16.0,52.0,815.3
hispanic,54990.0,male,15.0,41.0,1096.11
hispanic,145761.0,female,17.0,51.0,805.87
white,57861.0,male,17.0,33.0,679.3
hispanic,252754.0,male,16.0,29.0,750.78
hispanic,16047.0,female,11.0,50.0,746.68
other,74892.0,male,15.0,40.0,941.85
white,99331.0,female,18.0,41.0,687.76
white,15352.0,female,15.0,57.0,835.7
white,110997.0,male,17.0,40.0,924.61
white,125343.0,male,18.0,28.0,605.81
white,19897.0,male,15.0,26.0,492.32
hispanic,418398.0,female,16.0,44.0,742.43
white,66993.0,female,17.0,56.0,843.12
hispanic,219872.0,female,16.0,55.0,857.74
white,83462.0,female,18.0,54.0,835.33
white,39069.0,male,14.0,36.0,782.01
white,122103.0,female,15.0,51.0,792.96
white,81362.0,male,18.0,27.0,553.01
white,54210.0,male,15.0,30.0,616.9
white,30719.0,female,13.0,57.0,839.87
white,10790.0,male,17.0,34.0,703.47
white,8668.0,male,13.0,32.0,628.22
other,13698.0,female,12.0,52.0,767.19
black,44614.0,female,15.0,56.0,626.22
black,32954.0,female,12.0,46.0,495.09
white,57456.0,female,16.0,48.0,721.17
white,27850.0,male,13.0,26.0,490.15
white,11344.0,female,15.0,47.0,715.42
white,32667.0,female,14.0,52.0,799.64
white,121098.0,female,19.0,52.0,832.93
white,157327.0,female,20.0,47.0,773.9
asian,41413.0,female,18.0,51.0,904.52
white,170351.0,male,17.0,31.0,676.32
white,71485.0,male,16.0,38.0,862.32
other,175556.0,female,16.0,38.0,643.84
white,86594.0,female,17.0,54.0,840.37
other,25520.0,male,13.0,39.0,884.53
white,19138.0,male,15.0,32.0,681.2
white,19058.0,female,15.0,45.0,716.51
white,127701.0,male,17.0,31.0,652.87
hispanic,21363.0,female,12.0,51.0,762.24
other,93141.0,female,16.0,45.0,736.58
white,59362.0,male,15.0,29.0,580.67
white,35551.0,male,14.0,31.0,635.29
white,30989.0,female,15.0,51.0,790.55
hispanic,11240.0,female,13.0,50.0,732.23
black,24619.0,female,14.0,57.0,651.95
white,74404.0,male,14.0,38.0,862.45
white,252686.0,male,19.0,38.0,882.02
white,40506.0,male,16.0,36.0,807.74
white,21097.0,female,14.0,50.0,753.89
white,106960.0,male,17.0,39.0,899.55
hispanic,82381.0,female,16.0,42.0,710.34
asian,28660.0,female,14.0,43.0,781.47
other,26601.0,male,13.0,37.0,804.96
black,8111.0,female,12.0,50.0,515.56
white,93987.0,male,17.0,34.0,727.79
white,82833.0,female,18.0,56.0,837.24
hispanic,29530.0,female,13.0,52.0,777.05
hispanic,192661.0,male,17.0,37.0,986.11
black,9652.0,male,12.0,33.0,675.75
white,219084.0,male,16.0,31.0,666.01
hispanic,205983.0,female,16.0,50.0,778.76
white,28699.0,male,14.0,31.0,621.23
white,157718.0,male,18.0,29.0,602.59
other,179320.0,male,15.0,36.0,821.98
white,39097.0,male,15.0,35.0,777.78
white,6703.0,female,15.0,42.0,655.93
white,102715.0,male,18.0,32.0,695.78
white,40191.0,female,15.0,55.0,808.22
hispanic,71298.0,female,15.0,56.0,834.13
white,19942.0,female,14.0,45.0,715.44
white,72773.0,male,16.0,30.0,642.69
hispanic,52893.0,male,16.0,31.0,805.07
hispanic,167360.0,male,17.0,26.0,681.3
white,10118.0,female,13.0,50.0,732.17
white,180641.0,male,17.0,30.0,630.9
white,48580.0,female,16.0,52.0,796.74
other,78336.0,female,13.0,50.0,797.34
white,9933.0,female,15.0,47.0,694.42
other,98632.0,male,16.0,30.0,621.95
white,96853.0,female,19.0,55.0,857.72
white,43614.0,male,17.0,30.0,628.57
white,252694.0,male,18.0,31.0,665.18
white,42916.0,female,14.0,52.0,787.16
white,95805.0,female,17.0,53.0,811.25
other,20796.0,female,12.0,49.0,736.36
white,132610.0,female,17.0,47.0,745.95
white,18850.0,male,13.0,43.0,1037.63
white,70431.0,male,16.0,36.0,786.36
white,61536.0,female,15.0,51.0,801.15
black,62956.0,female,13.0,56.0,623.74
white,63382.0,female,17.0,44.0,703.33
white,70847.0,female,18.0,57.0,833.39
other,21087.0,female,13.0,44.0,694.11
white,114517.0,female,19.0,46.0,740.93
white,29253.0,male,14.0,34.0,707.29
other,142718.0,female,14.0,46.0,752.64
asian,335315.0,male,18.0,32.0,679.03
hispanic,212609.0,female,14.0,52.0,784.46
hispanic,8769.0,male,11.0,35.0,883.86
white,29553.0,male,14.0,26.0,512.35
white,6673.0,male,13.0,37.0,789.46
white,63915.0,male,16.0,24.0,472.02
hispanic,129458.0,male,17.0,35.0,912.65
hispanic,28727.0,female,12.0,48.0,753.5
hispanic,42800.0,female,14.0,48.0,755.57
other,89029.0,male,18.0,35.0,795.26
hispanic,184573.0,male,17.0,35.0,934.1
hispanic,45163.0,female,13.0,51.0,767.29
white,38596.0,female,14.0,49.0,769.51
white,48629.0,male,15.0,32.0,682.02
hispanic,14945.0,male,14.0,33.0,806.95
white,20761.0,female,14.0,48.0,743.63
white,64403.0,female,15.0,43.0,716.28
hispanic,62426.0,female,13.0,47.0,732.82
asian,25685.0,male,13.0,30.0,589.11
white,24681.0,male,14.0,32.0,670.12
white,153024.0,male,16.0,34.0,748.68
hispanic,311930.0,female,16.0,56.0,884.64
asian,54972.0,male,16.0,37.0,809.79
white,21123.0,male,15.0,29.0,597.66
asian,340635.0,female,21.0,51.0,972.62
white,7394.0,male,15.0,38.0,850.52
white,41549.0,male,14.0,31.0,638.84
black,58521.0,male,15.0,36.0,782.97
white,38089.0,female,14.0,56.0,833.17
white,22643.0,female,15.0,44.0,697.96
white,48414.0,male,17.0,38.0,872.03
asian,411408.0,female,19.0,53.0,968.31
white,35745.0,female,13.0,51.0,795.37
white,41447.0,female,17.0,51.0,805.22
hispanic,29500.0,female,12.0,49.0,755.24
black,34220.0,male,11.0,27.0,527.65
hispanic,41450.0,female,15.0,53.0,788.9
asian,75955.0,male,16.0,38.0,841.59
white,283374.0,female,19.0,47.0,788.83
black,58241.0,female,14.0,47.0,520.12
hispanic,36833.0,male,14.0,32.0,800.36
white,41256.0,male,15.0,38.0,863.38
black,35890.0,male,13.0,32.0,645.83
white,94343.0,female,17.0,52.0,823.8
other,129081.0,female,17.0,49.0,782.1
hispanic,45962.0,male,14.0,29.0,726.05
white,125648.0,female,20.0,48.0,785.46
hispanic,14541.0,male,12.0,34.0,842.74
white,36448.0,male,14.0,42.0,1001.82
other,22364.0,female,10.0,59.0,832.9
white,48401.0,female,15.0,46.0,711.76
white,10726.0,male,15.0,34.0,694.02
white,130427.0,male,18.0,39.0,895.66
other,21878.0,male,15.0,31.0,638.42
white,68621.0,female,17.0,57.0,837.58
white,96298.0,male,19.0,36.0,803.04
white,136820.0,male,17.0,39.0,919.02
white,25632.0,female,14.0,52.0,784.48
hispanic,25562.0,male,12.0,32.0,805.43
white,16412.0,male,12.0,32.0,636.98
hispanic,36546.0,male,13.0,37.0,945.56
other,49285.0,female,14.0,52.0,781.02
other,32404.0,female,11.0,51.0,772.3
black,171364.0,male,17.0,31.0,674.85
white,96038.0,male,18.0,35.0,817.49
hispanic,105489.0,male,17.0,30.0,779.23
white,467946.0,female,17.0,47.0,764.63
other,51650.0,female,12.0,45.0,702.84
white,75105.0,female,18.0,40.0,652.0
white,116630.0,male,17.0,29.0,617.52
hispanic,156334.0,male,16.0,29.0,776.5
white,137381.0,female,18.0,49.0,805.95
white,18986.0,female,13.0,47.0,706.34
white,254883.0,male,18.0,29.0,633.38
black,178976.0,female,18.0,48.0,568.29
white,106757.0,male,18.0,35.0,802.98
asian,184306.0,male,19.0,30.0,638.67
hispanic,14713.0,male,12.0,32.0,826.6
white,252667.0,female,18.0,47.0,756.49
white,299352.0,male,18.0,33.0,722.68
white,40309.0,male,16.0,28.0,554.04
white,36626.0,male,15.0,30.0,600.89
black,51547.0,male,14.0,26.0,503.75
white,19493.0,male,16.0,36.0,789.71
white,9773.0,male,14.0,31.0,623.0
white,128891.0,female,20.0,49.0,784.48
white,52159.0,male,16.0,39.0,895.64
hispanic,11021.0,female,12.0,51.0,749.1
white,79988.0,female,16.0,54.0,820.24
asian,35725.0,female,16.0,50.0,881.2
white,62974.0,male,18.0,27.0,537.34
white,111076.0,female,18.0,46.0,744.63
white,53722.0,male,16.0,38.0,850.35
white,37303.0,male,14.0,38.0,844.6
white,53587.0,male,16.0,32.0,672.0
other,5587.0,male,11.0,34.0,683.06
hispanic,693850.0,male,13.0,28.0,728.97
black,117264.0,male,15.0,37.0,809.64
white,21474.0,male,15.0,41.0,927.05
other,41352.0,female,16.0,50.0,757.0
hispanic,8920.0,male,12.0,32.0,781.44
white,63367.0,female,15.0,44.0,701.96
white,285619.0,male,19.0,40.0,975.45
white,6282.0,female,15.0,56.0,825.48
black,61995.0,male,13.0,32.0,667.17
asian,12518.0,male,15.0,36.0,759.73
black,135184.0,female,17.0,56.0,645.17
white,26271.0,male,14.0,27.0,535.92
white,18820.0,female,14.0,55.0,800.36
white,39109.0,male,15.0,33.0,694.56
asian,149623.0,male,22.0,32.0,688.78
white,26282.0,female,14.0,49.0,740.92
black,72936.0,female,15.0,47.0,528.87
black,38717.0,female,12.0,53.0,605.87
hispanic,86990.0,male,15.0,35.0,921.11
hispanic,46691.0,male,14.0,29.0,730.14
hispanic,28763.0,female,10.0,48.0,722.0
white,76123.0,male,17.0,39.0,915.03
white,97067.0,male,18.0,35.0,759.37
white,8701.0,female,14.0,49.0,721.23
white,32325.0,male,14.0,32.0,680.1
white,39096.0,female,14.0,51.0,769.86
hispanic,62175.0,female,12.0,50.0,779.12
hispanic,80230.0,female,16.0,54.0,820.4
white,35531.0,male,15.0,33.0,693.96
other,40339.0,male,14.0,31.0,661.41
white,45645.0,male,16.0,28.0,558.55
white,95393.0,male,18.0,45.0,1121.85
black,4716.0,male,12.0,31.0,590.03
other,25421.0,female,11.0,45.0,691.6
white,42765.0,male,16.0,30.0,594.26
black,65739.0,female,14.0,59.0,668.1
white,77980.0,female,14.0,56.0,849.77
white,146078.0,male,17.0,34.0,746.62
black,52321.0,male,14.0,29.0,605.11
hispanic,51322.0,female,15.0,52.0,813.37
black,158546.0,male,15.0,32.0,695.04
white,58443.0,female,17.0,49.0,759.07
white,195001.0,male,18.0,30.0,639.98
white,27851.0,female,13.0,52.0,802.3
white,24515.0,female,13.0,44.0,693.21
white,112335.0,male,21.0,36.0,824.46
white,198478.0,female,18.0,59.0,871.95
white,29794.0,male,12.0,32.0,666.07
hispanic,31811.0,male,11.0,37.0,919.92
white,32289.0,female,15.0,54.0,802.69
white,88951.0,male,17.0,36.0,791.0
hispanic,62400.0,female,13.0,52.0,798.66
white,748529.0,female,18.0,43.0,742.64
white,115580.0,female,20.0,42.0,730.7
white,28026.0,female,14.0,51.0,771.4
white,11820.0,female,13.0,49.0,731.26
white,129350.0,male,19.0,40.0,943.01
hispanic,10055.0,male,13.0,34.0,865.14
black,9255.0,male,11.0,29.0,566.95
other,129776.0,female,17.0,56.0,823.95
hispanic,103397.0,male,16.0,31.0,807.62
other,18802.0,male,11.0,27.0,517.35
asian,138285.0,female,20.0,49.0,919.28
hispanic,25282.0,male,11.0,36.0,932.55
white,31693.0,male,14.0,31.0,652.43
other,34064.0,female,13.0,46.0,689.58
white,62830.0,female,16.0,51.0,794.01
other,13107.0,female,11.0,54.0,802.87
white,36762.0,male,13.0,31.0,645.94
white,45991.0,male,17.0,35.0,764.95
white,220751.0,female,18.0,46.0,764.27
other,130545.0,female,16.0,60.0,920.15
white,102178.0,female,18.0,50.0,795.31
black,78854.0,female,13.0,46.0,517.36
white,49083.0,female,17.0,47.0,747.04
white,11640.0,female,12.0,42.0,651.79
hispanic,34234.0,male,12.0,32.0,803.45
white,64220.0,female,17.0,53.0,830.12
white,113540.0,male,17.0,38.0,861.01
white,103023.0,male,17.0,33.0,690.58
white,97260.0,female,18.0,57.0,871.92
white,21798.0,female,13.0,51.0,785.47
white,30871.0,female,14.0,48.0,713.34
black,192087.0,male,16.0,37.0,829.68
hispanic,125323.0,female,16.0,57.0,870.53
white,46016.0,female,16.0,59.0,905.5
white,12684.0,female,14.0,46.0,715.53
white,132752.0,female,17.0,53.0,832.58
white,159905.0,female,20.0,49.0,759.57
white,15231.0,male,13.0,34.0,716.1
white,366352.0,female,19.0,56.0,890.31
other,9630.0,male,11.0,36.0,739.44
hispanic,44701.0,male,13.0,31.0,759.75
black,34674.0,male,11.0,33.0,701.25
white,23125.0,female,15.0,58.0,837.2
white,145788.0,female,17.0,50.0,796.04
white,7100.0,female,15.0,54.0,805.95
white,54356.0,female,16.0,48.0,741.59
black,46882.0,female,14.0,51.0,563.09
black,75319.0,female,14.0,48.0,549.18
white,159933.0,female,17.0,49.0,783.25
black,18195.0,male,12.0,30.0,617.44
black,25502.0,female,12.0,49.0,519.66
black,99447.0,male,15.0,36.0,797.29
white,17971.0,male,12.0,31.0,627.26
white,57363.0,female,15.0,48.0,762.27
white,222170.0,female,20.0,56.0,882.87
white,129128.0,male,18.0,36.0,806.16
white,59361.0,male,16.0,40.0,922.14
asian,102343.0,female,19.0,45.0,846.16
hispanic,35878.0,male,12.0,33.0,836.86
white,309154.0,female,19.0,53.0,845.57
white,19917.0,female,13.0,42.0,650.96
